title,tier,type,url,summary,representative_submetrics
OWASP Top 10 for LLMs,1,Vulnerability catalogue,/mappings/owasp-llm,Routes the released OWASP LLM risks to AITBM tests and evidence without assigning generic risk scores.,Ro-1; Cn-1; Cn-2; Cn-3; Cn-6; Pr-1; Pr-2; Pr-3
OWASP Agentic AI Threats and Mitigations,1,Agentic threat taxonomy,/mappings/owasp-agentic-top10,"Maps agentic threats and the companion Top 10 to AITBM containment, robustness, privacy, and operational-risk evidence.",Ro-4; Cn-1; Cn-2; Cn-7; Ro-3; Tr-2; Ro-1; Cn-5
OWASP AISVS,1,Control verification standard,/mappings/owasp-aisvs,Shows how AISVS control-verification results can supply evidence for AITBM's 23 measured sub-metrics.,Ro-4; Tr-4; Pr-1; Ro-1; Cn-1; Cn-3; Cn-5; Pr-2
MITRE ATLAS,1,Adversarial threat knowledge base,/mappings/mitre-atlas,Uses released ATLAS tactics and techniques to select AITBM tests while keeping system scoring deployment-specific.,Pr-1; Pr-2; Tr-4; Ro-1; Ro-4; Tr-3; Cn-1; Cn-5
AIUC-1,1,Certification and insurance standard,/mappings/aiuc-1,"Relates AIUC-1 requirements to AITBM evidence, assurance, and operational-risk inputs without treating certification as a score.",Pr-1; Pr-2; Pr-3; Pr-4; Ro-1; Cn-1; Cn-2; Cn-3
AIDEFEND,1,Defensive technique catalogue,/mappings/aidefend,Connects defensive techniques to the AITBM sub-metrics they may evidence when deployed effectiveness is measured.,Tr-4; Ro-4; Cn-1; Cn-2; Cn-5; Cn-6; Ro-1; Cn-3
NIST AI RMF,2,Risk management framework,/mappings/nist-ai-rmf,"Maps GOVERN, MAP, MEASURE, and MANAGE activities to AITBM assessment evidence and decision outputs.",Ro-2; Ro-3; Tr-2; Cn-1; Cn-3; Cn-2; Ro-1; Ro-4
ISO/IEC 42001 and 42005,2,AI management and impact assessment,/mappings/iso-42001,"Relates management-system and impact-assessment evidence to AITBM scoring, governance, and assurance inputs.",Tr-3; Tr-4
EU AI Act,2,Binding regulation,/mappings/eu-ai-act,Maps relevant legal obligations to evidence routes while making clear that AITBM is not a legal-compliance determination.,Pr-1; Pr-3; Pr-4; Fa-3; Tr-4; Tr-3; Tr-1; Cn-2
CSA AI Security,2,Cloud AI security framework,/mappings/csa-ai,Connects CSA MAESTRO and AICM controls to AITBM test selection and deployment evidence.,Ro-1; Ro-4; Pr-1; Pr-2; Tr-4; Pr-3; Pr-4; Tr-3
NIST Cyber AI Profile (IR 8596),3,Cyber-AI CSF profile,/mappings/nist-ir8596,"Relates the Cyber AI Profile's outcomes to AITBM's measured properties, context, and evidence confidence.",Ro-1; Ro-4; Cn-1; Cn-2; Cn-4; Pr-1; Pr-2; Tr-3
OWASP AIMA,3,AI security maturity model,/mappings/aima,Shows how maturity practices can support AITBM evidence without converting maturity levels directly into ERS.,Fa-1; Fa-2; Fa-3; Fa-4; Tr-1; Tr-3; Tr-4; Pr-1
COMPASS,3,Security maturity and prioritization,/mappings/compass,"Maps COMPASS practices to AITBM threat prioritization, evidence collection, and scoring inputs.",Ro-1; Cn-1; Pr-1; Pr-4; Cn-2; Cn-5; Cn-6; Ro-3
MITRE D3FEND,3,Defensive countermeasure ontology,/mappings/d3fend,Uses defensive countermeasures to organize evidence routes while AITBM tests determine the actual score.,Tr-4; Cn-1; Ro-1; Cn-3; Cn-5; Cn-4; Ro-4; Tr-3
CVSS,3,Vulnerability scoring prior art,/mappings/cvss,Explains where CVSS complements AITBM and why AI system risk still requires multidimensional and confidence-aware assessment.,Pr-1; Pr-2; Pr-4; Cn-3; Ro-3; Ro-4; Cn-1; Cn-5
GPAI Code of Practice,4,GPAI governance,/mappings/gpai-cop,"Relates transparency, safety, security, and copyright commitments to AITBM evidence and assessment boundaries.",Tr-4; Tr-1; Tr-3; Pr-1; Pr-3; Ro-1; Ro-4; Ro-3
