id,name,axis,primary_metric,url,definition,required_test_method
Ro-1,Adversarial Input Resistance,Robustness,Attack Success Rate (ASR),/submetrics/ro-1-adversarial-input-resistance,"Ability to maintain correct behavior when subjected to crafted adversarial inputs designed to cause misclassification, hallucination, policy bypass, unsafe tool invocation, or unauthorized disclosure.","Run a standardized adversarial test suite appropriate to the architecture: PGD/AutoAttack for vision models; GCG, PAIR, TAP, and manual red-teaming for LLMs; prompt injection and tool-injection batteries for RAG and agentic systems. Report Attack Success Rate (ASR), policy-bypass rate, and unsafe-action trigger rate."
Ro-2,Distribution Shift Resilience,Robustness,Out-of-Distribution Degradation Rate (OOD-DR),/submetrics/ro-2-distribution-shift-resilience,"Ability to preserve safe, calibrated, and useful behavior when inputs, users, languages, domains, tools, or data sources differ materially from the assessment baseline.","Evaluate on representative out-of-distribution and near-distribution-shift benchmarks, including domain shift, language shift, tool/schema shift, and adversarially perturbed retrieval contexts where applicable. Report Out-of-Distribution Degradation Rate (OOD-DR), abstention accuracy, hallucination delta, and Expected Calibration Error (ECE) shift."
Ro-3,Output Consistency,Robustness,Output Variance Rate (OVR),/submetrics/ro-3-output-consistency,"Ability to produce stable, policy-consistent, and semantically equivalent outputs across repeated runs, paraphrased prompts, equivalent inputs, and supported operating conditions.","Run repeated-query and semantic-equivalence testing across fixed seeds where available, expected production temperature settings, paraphrase sets, multilingual variants, and equivalent tool-call contexts. Report Output Variance Rate (OVR), policy inconsistency rate, hallucination variance, and calibration dispersion."
Ro-4,Poisoning Attack Resistance,Robustness,Poisoning Attack Success Rate (PASR),/submetrics/ro-4-poisoning-attack-resistance,"Resistance to training-time, fine-tuning-time, retrieval-corpus, memory, tool-description, or feedback-loop manipulation that degrades integrity, implants backdoors, or skews outputs.","Execute poisoning simulations against applicable assets: training/fine-tuning data, RAG corpus, tool manifests, memory stores, preference data, and feedback channels. Inject 1-5% adversarial samples where safe, test known trigger patterns, and report Poisoning Attack Success Rate (PASR), Backdoor Detection Rate (BDR), and poisoned-source quarantine time."
Fa-1,Demographic Parity,Fairness,Demographic Parity Difference (DPD),/submetrics/fa-1-demographic-parity,"Consistency of outcome rates across protected groups where parity is legally, ethically, or operationally appropriate for the use case.","Compute outcome rates per protected group as defined by the Jurisdictional Protected Group Registry (JPGR). Calculate Demographic Parity Difference (DPD) and group-level selection-rate ratios. For generative systems, measure refusal-rate parity, service-quality parity, and completion-quality parity across demographic categories."
Fa-2,Calibration Consistency,Fairness,Calibration Error Difference,/submetrics/fa-2-calibration-consistency,"Consistency of confidence, uncertainty, refusal, and risk estimates across protected groups, languages, and relevant user populations.","Compute calibration curves, Brier score, Expected Calibration Error (ECE), and group-level ECE gaps across JPGR-defined groups and major operating contexts. For generative systems, measure whether confidence, refusal, and uncertainty signals correspond to actual correctness or safety outcomes consistently across groups."
Fa-3,Representation Bias,Fairness,Stereotype Reproduction Rate (SRR),/submetrics/fa-3-representation-bias,"Degree to which training, evaluation, retrieval, generated content, and embedding behavior overrepresent, underrepresent, stereotype, or erase relevant groups.","Audit dataset and retrieval coverage against deployment demographics, run stereotype and association tests such as BBQ, StereoSet, or domain-specific equivalents, and evaluate generated outputs for representational harms. Report Representation Coverage Gap (RCG), Stereotype Reproduction Rate (SRR), and embedding association disparity where applicable."
Fa-4,Counterfactual Fairness,Fairness,Counterfactual Output Change Rate (COCR),/submetrics/fa-4-counterfactual-fairness,Stability of materially relevant outputs when protected attributes are changed while all task-relevant non-protected attributes remain constant.,"Generate counterfactual input pairs by changing protected attributes such as names, pronouns, age signals, location proxies, disability indicators, or group references while preserving task-relevant facts. Measure Counterfactual Output Change Rate (COCR), severity of changed outcomes, and justification drift."
Tr-1,Explainability Depth,Transparency,Explanation Depth Coverage (EDC),/submetrics/tr-1-explainability-depth,"Ability to provide explanations at the depth required by the decision context, including outcome rationale, evidence used, uncertainty, limitations, and escalation path.","Sample representative outputs and evaluate explanations against a depth checklist: input factors considered, retrieved evidence or features cited, uncertainty stated, limitations disclosed, policy or control basis identified, and human-review path provided. Score Explanation Depth Coverage (EDC) as the percentage of required explanation elements present and accurate."
Tr-2,Confidence Calibration,Transparency,Expected Calibration Error (ECE),/submetrics/tr-2-confidence-calibration,"Degree to which confidence, probability, risk, refusal, and uncertainty signals correspond to observed correctness, safety, and reliability outcomes.","Compute reliability curves, Brier score, Expected Calibration Error (ECE), overconfidence rate, and abstention precision across representative tasks and risk bands. For systems without explicit probabilities, test verbal confidence and refusal/uncertainty signals against observed correctness."
Tr-3,Audit Trail Completeness,Transparency,Audit Trail Completeness Rate (ATCR),/submetrics/tr-3-audit-trail-completeness,"Completeness and integrity of records needed to reconstruct inputs, outputs, prompts, retrieval context, tool calls, model versions, policy versions, and human interventions.","Audit a representative sample of sessions and verify whether each record contains timestamp, actor identity, model or agent version, prompt/input, retrieved sources, tool calls, output, policy decision, confidence/refusal signal, and human override where applicable. Report Audit Trail Completeness Rate (ATCR) and tamper-evidence coverage."
Tr-4,Model Lineage Disclosure,Transparency,Lineage Disclosure Coverage (LDC),/submetrics/tr-4-model-lineage-disclosure,"Completeness of disclosed lineage for models, datasets, fine-tunes, retrieval corpora, tool manifests, evaluation sets, and material configuration changes.","Review model cards, system cards, AIBOM/SBOM artifacts, dataset documentation, fine-tuning records, RAG source inventories, tool manifest histories, and deployment-change logs. Report Lineage Disclosure Coverage (LDC) as the percentage of required lineage artifacts present, current, and reviewable."
Pr-1,Training Data Leakage Risk,Privacy,Training Data Extraction Rate (TDER),/submetrics/pr-1-training-data-leakage-risk,"Likelihood that the system reveals memorized or reconstructable training, fine-tuning, retrieval, or proprietary data through normal or adversarial interaction.","Execute extraction attacks using canary strings, prefix completion, divergence-based extraction, known-sequence probes, and adversarial prompting against training, fine-tuning, and RAG content where applicable. Report Training Data Extraction Rate (TDER), sensitive-data leakage count, and canary extraction rate."
